parent_A,parent_B,G_ij,cluster_A,cluster_B,Tannin_A,Tannin_B,Tannin_midparent,Tannin_absgap,Phenol_A,Phenol_B,Phenol_midparent,Phenol_absgap,Flavonoid_A,Flavonoid_B,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_A,Antioxidant_B,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_A,Seed_Length_B,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_A,Seed_Width_B,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_A,Seed_Thickness_B,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_A,Mass_of_Seeds_B,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_A,Seed_Coat_Tannin_B,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_A,Crude_Protein_B,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_A,Total_Oxalate_B,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_A,Soluble_Oxalate_B,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_A,Insoluble_Oxalate_B,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs361,TSs56,-0.27159757214295993,1,2,697.419649368991,665.975302955991,681.6974761624911,31.444346413000062,274.975748250218,112.777425355133,193.8765868026755,162.19832289508497,148.504843097067,156.045644268136,152.2752436826015,7.540801171068978,224.357952411057,205.237639680723,214.79779604588998,19.120312730334007,8.579,9.495,9.036999999999999,0.9159999999999986,6.784,6.814,6.7989999999999995,0.03000000000000025,6.554,6.547,6.5504999999999995,0.007000000000000561,0.3004,0.3431,0.32175,0.042700000000000016,969.97090051681,922.690182749731,946.3305416332705,47.28071776707907,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs361,TSs98,-0.26918782204506864,1,2,697.419649368991,983.632105533015,840.525877451003,286.21245616402393,274.975748250218,129.490219976921,202.2329841135695,145.48552827329698,148.504843097067,171.197251768599,159.851047432833,22.69240867153198,224.357952411057,376.805060174128,300.5815062925925,152.44710776307102,8.579,9.212,8.8955,0.6329999999999991,6.784,7.132,6.958,0.34799999999999986,6.554,7.113,6.833500000000001,0.5590000000000002,0.3004,0.3607,0.33055,0.06030000000000002,969.97090051681,1061.50323698195,1015.7370687493801,91.53233646514002,36.6822429906542,28.9746376012456,32.8284402959499,7.707605389408602,853.189029158319,938.607383578431,895.898206368375,85.418354420112,307.592219560878,344.759825512942,326.17602253690995,37.16760595206398,545.59680959744,593.84755806549,569.722183831465,48.250748468050006
TSs361,TSs317,-0.26879248437972253,1,2,697.419649368991,679.194862253083,688.3072558110371,18.224787115908043,274.975748250218,148.827114977169,211.9014316136935,126.14863327304897,148.504843097067,208.16394267839,178.33439288772848,59.65909958132298,224.357952411057,314.401185844708,269.3795691278825,90.04323343365098,8.579,8.771,8.675,0.19200000000000017,6.784,6.744,6.763999999999999,0.040000000000000036,6.554,6.263,6.4085,0.29100000000000037,0.3004,0.2954,0.2979,0.0050000000000000044,969.97090051681,1064.4492839394,1017.2100922281049,94.4783834225899,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs151B,TSs98,-0.2673993142274134,1,2,,983.632105533015,,,,129.490219976921,,,,171.197251768599,,,,376.805060174128,,,7.776,9.212,8.494,1.436,5.898,7.132,6.515,1.234,5.699,7.113,6.406000000000001,1.4140000000000006,0.2064,0.3607,0.28355,0.15430000000000002,1136.7674734124,1061.50323698195,1099.1353551971752,75.26423643044996,,28.9746376012456,,,,938.607383578431,,,,344.759825512942,,,,593.84755806549,,
TSs317,TSs358,-0.2657187874499147,2,1,679.194862253083,604.948240539693,642.071551396388,74.24662171339003,148.827114977169,493.280416621162,321.0537657991655,344.453301643993,208.16394267839,106.393859340583,157.2789010094865,101.77008333780698,314.401185844708,233.724883943803,274.0630348942555,80.67630190090497,8.771,8.618,8.694500000000001,0.15300000000000047,6.744,6.819,6.781499999999999,0.07500000000000018,6.263,6.798,6.5305,0.5350000000000001,0.2954,0.3188,0.3071,0.023399999999999976,1064.4492839394,743.878474243588,904.163879091494,320.57080969581193,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs56,TSs358,-0.2656437936236969,2,1,665.975302955991,604.948240539693,635.461771747842,61.02706241629801,112.777425355133,493.280416621162,303.0289209881475,380.50299126602897,156.045644268136,106.393859340583,131.2197518043595,49.65178492755298,205.237639680723,233.724883943803,219.481261812263,28.487244263080015,9.495,8.618,9.0565,0.8769999999999989,6.814,6.819,6.8165,0.004999999999999893,6.547,6.798,6.672499999999999,0.25100000000000033,0.3431,0.3188,0.33094999999999997,0.024300000000000044,922.690182749731,743.878474243588,833.2843284966596,178.81170850614296,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs151B,TSs317,-0.262081859187379,1,2,,679.194862253083,,,,148.827114977169,,,,208.16394267839,,,,314.401185844708,,,7.776,8.771,8.2735,0.995000000000001,5.898,6.744,6.321,0.8460000000000001,5.699,6.263,5.981,0.5640000000000001,0.2064,0.2954,0.2509,0.089,1136.7674734124,1064.4492839394,1100.6083786759,72.31818947300007,,,,,,,,,,,,,,,,
TSs361,TSs49,-0.258089037816867,1,2,697.419649368991,402.279338036836,549.8494937029135,295.140311332155,274.975748250218,236.310690798753,255.6432195244855,38.665057451464975,148.504843097067,157.038686779085,152.771764938076,8.533843682017988,224.357952411057,298.909487468502,261.6337199397795,74.551535057445,8.579,8.755,8.667000000000002,0.17600000000000016,6.784,6.454,6.619,0.33000000000000007,6.554,5.916,6.235,0.6379999999999999,0.3004,0.2624,0.2814,0.03799999999999998,969.97090051681,723.218973090569,846.5949368036895,246.75192742624108,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs49,TSs358,-0.2562557679830043,2,1,402.279338036836,604.948240539693,503.61378928826446,202.66890250285695,236.310690798753,493.280416621162,364.7955537099575,256.969725822409,157.038686779085,106.393859340583,131.716273059834,50.64482743850199,298.909487468502,233.724883943803,266.3171857061525,65.18460352469899,8.755,8.618,8.6865,0.13700000000000045,6.454,6.819,6.6365,0.3650000000000002,5.916,6.798,6.357,0.8819999999999997,0.2624,0.3188,0.29059999999999997,0.05639999999999995,723.218973090569,743.878474243588,733.5487236670785,20.65950115301905,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs156A,TSs217,-0.2560563676916612,1,2,673.027286238732,650.649677652133,661.8384819454325,22.377608586598967,227.193040482138,204.223149250866,215.708094866502,22.969891231272015,87.0933996609076,129.634790939371,108.3640953001393,42.541391278463394,129.392142398117,521.612935220157,325.50253880913704,392.22079282204004,7.666,7.824,7.745,0.15799999999999947,7.115,6.0,6.5575,1.1150000000000002,6.955,5.659,6.307,1.2960000000000003,0.2889,0.2091,0.249,0.07979999999999998,956.650402414259,1154.58308288755,1055.6167426509046,197.93268047329104,,,,,,,,,,,,,,,,
