GO_id,k_in_fg,K_in_bg,n_fg,N_bg,fold_enrichment,p_value,q_bh
GO:0005249,2,14,1193,15788,1.8905520296970424,0.28619729331981925,0.6634980605390493
GO:0030163,2,14,1193,15788,1.8905520296970424,0.28619729331981925,0.6634980605390493
GO:0006814,2,14,1193,15788,1.8905520296970424,0.28619729331981925,0.6634980605390493
GO:0030131,2,14,1193,15788,1.8905520296970424,0.28619729331981925,0.6634980605390493
GO:0016705,23,268,1193,15788,1.1357420775418798,0.2921125866959571,0.6634980605390493
GO:0016788,9,96,1193,15788,1.240674769488684,0.30014844727071716,0.6634980605390493
GO:0004842,9,97,1193,15788,1.2278843079475636,0.3107558079227721,0.6634980605390493
GO:0016301,6,61,1193,15788,1.3016915614307505,0.31290033774543347,0.6634980605390493
GO:0000155,2,15,1193,15788,1.7645152277172393,0.31499506018230866,0.6634980605390493
GO:0008408,2,15,1193,15788,1.7645152277172393,0.31499506018230866,0.6634980605390493
GO:0004970,2,15,1193,15788,1.7645152277172393,0.31499506018230866,0.6634980605390493
GO:0005739,2,15,1193,15788,1.7645152277172393,0.31499506018230866,0.6634980605390493
GO:0005506,25,298,1193,15788,1.1102235073724243,0.321774762082432,0.6634980605390493
GO:0006470,8,86,1193,15788,1.2310571356166786,0.3237621528399132,0.6634980605390493
GO:0018298,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0035267,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0007076,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0009584,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0004367,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0006635,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0005960,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0003951,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0019464,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0033743,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0046168,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0006741,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0006488,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0031123,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0045263,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0000123,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0016820,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0017119,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0015369,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0006816,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0016851,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0017150,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0043631,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0007094,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0004506,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0004652,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0004556,1,5,1193,15788,2.646772841575859,0.32490884407840037,0.6634980605390493
GO:0000166,9,99,1193,15788,1.2030785643526631,0.3322045896406821,0.6749857910423778
GO:0005509,17,200,1193,15788,1.1248784576697402,0.34263686662810333,0.6749857910423778
GO:0019752,2,16,1193,15788,1.6542330259849118,0.34352000582102393,0.6749857910423778
GO:0016567,8,88,1193,15788,1.2030785643526634,0.3468968625369544,0.6749857910423778
GO:0016779,3,28,1193,15788,1.4179140222727817,0.35575905020239446,0.6749857910423778
GO:0006260,4,40,1193,15788,1.3233864207879296,0.35789207635656684,0.6749857910423778
GO:0003723,22,266,1193,15788,1.0945301224561823,0.360934153332873,0.6749857910423778
GO:0022857,13,152,1193,15788,1.1318436493580977,0.36270684217961574,0.6749857910423778
GO:0016846,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0005536,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0015018,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0003854,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0001678,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0016817,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0045892,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0030488,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0030234,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0000439,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0000989,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0009396,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0004834,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0004396,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0003713,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0016573,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0030570,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0009331,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0006826,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0006850,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0001510,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0004345,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0043161,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0012511,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0006879,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0042765,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0016117,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0005094,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0005787,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0030833,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0033180,1,6,1193,15788,2.2056440346465496,0.37593740322523356,0.6749857910423778
GO:0005516,3,29,1193,15788,1.369020435297858,0.3769250551353484,0.6749857910423778
GO:0006508,29,361,1193,15788,1.0631082050650957,0.39299108812999073,0.7015975867842166
GO:0006813,2,18,1193,15788,1.470429356431033,0.39927902048772496,0.7063233736287414
GO:0016772,2,18,1193,15788,1.470429356431033,0.39927902048772496,0.7063233736287414
GO:0015934,2,18,1193,15788,1.470429356431033,0.39927902048772496,0.7063233736287414
GO:0016021,75,961,1193,15788,1.0328197872954705,0.4005570521486543,0.706436982880354
GO:0005215,17,208,1193,15788,1.0816139016055193,0.4045882202341191,0.7068976808080373
GO:0016192,8,93,1193,15788,1.1383969211078966,0.4054375499110506,0.7068976808080373
GO:0008017,8,93,1193,15788,1.1383969211078966,0.4054375499110506,0.7068976808080373
GO:0036459,3,31,1193,15788,1.2806965362463836,0.41876009319726026,0.7068976808080373
GO:0006644,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0006631,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0004540,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0016790,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0004347,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0046835,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0060236,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0032147,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0005819,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0120009,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0120013,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0006796,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0004721,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0046034,1,7,1193,15788,1.8905520296970424,0.4231118220537913,0.7068976808080373
GO:0005743,2,19,1193,15788,1.393038337671505,0.4263248899718575,0.7068976808080373
GO:0019538,2,19,1193,15788,1.393038337671505,0.4263248899718575,0.7068976808080373
GO:0005992,2,19,1193,15788,1.393038337671505,0.4263248899718575,0.7068976808080373
GO:0006457,9,108,1193,15788,1.1028220173232748,0.43076760772891953,0.7122350786881567
GO:0016746,3,32,1193,15788,1.240674769488684,0.43933304249162786,0.7222933071472526
GO:0003690,3,32,1193,15788,1.240674769488684,0.43933304249162786,0.7222933071472526
GO:0004252,9,110,1193,15788,1.082770707917397,0.45270283988844323,0.7262908319302016
GO:0005543,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0009451,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0009982,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0015079,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0006357,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0008233,2,20,1193,15788,1.3233864207879296,0.4527171047302585,0.7262908319302016
GO:0006520,3,33,1193,15788,1.2030785643526634,0.4596201258069709,0.7262908319302016
GO:0015031,4,46,1193,15788,1.1507708006851562,0.46232072918140954,0.7262908319302016
GO:0004497,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0042803,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0006072,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0016671,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0008199,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0032040,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
GO:0007205,1,8,1193,15788,1.6542330259849118,0.4667229744706107,0.7262908319302016
