group,trait,n,rep,ST_r,MT_r,delta_r
oxalate_triplet,Soluble_Oxalate,41,22,0.07566956127162715,0.0756695612716271,-4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,23,0.1643754214667197,0.16437542146671977,5.551115123125783e-17
oxalate_triplet,Soluble_Oxalate,41,24,0.027363359097645854,0.027363359097645923,6.938893903907228e-17
oxalate_triplet,Soluble_Oxalate,41,25,0.05553660808299571,0.055536608082995736,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,26,0.2341201542098114,0.23412015420981142,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,27,0.16399751586744446,0.16399751586744446,0.0
oxalate_triplet,Soluble_Oxalate,41,28,-0.05907808235973646,-0.0590780823597365,-4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,29,0.16154628695073778,0.16154628695073764,-1.3877787807814457e-16
oxalate_triplet,Soluble_Oxalate,41,30,-0.16331287570399175,-0.16331287570399172,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,31,0.05501471533536643,0.05501471533536641,-2.0816681711721685e-17
oxalate_triplet,Soluble_Oxalate,41,32,0.15187038396041955,0.15187038396041952,-2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,33,0.09608101664612256,0.09608101664612259,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,34,0.12181864717716379,0.12181864717716383,4.163336342344337e-17
oxalate_triplet,Soluble_Oxalate,41,35,0.005788541166002165,0.00578854116600222,5.551115123125783e-17
oxalate_triplet,Soluble_Oxalate,41,36,0.21448601020548874,0.21448601020548855,-1.942890293094024e-16
oxalate_triplet,Soluble_Oxalate,41,37,0.0869801813871259,0.08698018138712596,5.551115123125783e-17
oxalate_triplet,Soluble_Oxalate,41,38,0.17961047767451627,0.17961047767451627,0.0
oxalate_triplet,Soluble_Oxalate,41,39,0.1712475458450094,0.1712475458450093,-8.326672684688674e-17
oxalate_triplet,Soluble_Oxalate,41,40,0.11039664639569066,0.11039664639569069,2.7755575615628914e-17
oxalate_triplet,Soluble_Oxalate,41,41,0.07884908189853498,0.07884908189853508,9.71445146547012e-17
