cross_id,parent_A,parent_B,G_ij,scenario,U_aggregate,U_aggregate_z
TSs361_x_TSs166,TSs361,TSs166,-0.2354614157573243,crude_protein_priority,-21.95380639602315,0.3899134843590267
TSs363_x_TSs303,TSs363,TSs303,-0.2350782315808264,balanced,-29.99612550058406,0.3560991837451048
TSs363_x_TSs303,TSs363,TSs303,-0.2350782315808264,soluble_oxalate_priority,-29.99612550058406,0.3235724859519441
TSs363_x_TSs303,TSs363,TSs303,-0.2350782315808264,crude_protein_priority,-29.99612550058406,0.34277978197372255
TSs363_x_TSs98,TSs363,TSs98,-0.2350633953170616,balanced,-34.48303541725056,0.3296759214905554
TSs363_x_TSs98,TSs363,TSs98,-0.2350633953170616,soluble_oxalate_priority,-7.545740222954849,0.454032683692001
TSs363_x_TSs98,TSs363,TSs98,-0.2350633953170616,crude_protein_priority,-22.329045784561117,0.3877143150109015
TSs363_x_TSs56,TSs363,TSs56,-0.2342661054826193,balanced,-4.616119357960656,0.5055611900665606
TSs363_x_TSs56,TSs363,TSs56,-0.2342661054826193,soluble_oxalate_priority,-4.616119357960656,0.4710568421919169
TSs363_x_TSs56,TSs363,TSs56,-0.2342661054826193,crude_protein_priority,-4.616119357960656,0.4915246453036532
TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,balanced,38.99817389311729,0.7624043025924838
TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,soluble_oxalate_priority,38.99817389311729,0.7245014602447846
TSs363_x_TSs51,TSs363,TSs51,-0.2338936305398882,crude_protein_priority,38.99817389311729,0.747135382842763
