cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Flavonoid,138.795555554591,32.63485449485409,196.06972519305992,1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Antioxidant,305.2649720589655,76.95070932930265,440.31346693189164,1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Seed_Length,8.915,0.37754879088933085,,0
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Seed_Width,6.9755,0.26876776462073587,,0
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Seed_Thickness,6.955500000000001,0.30052540377328174,,0
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Mass_of_Seeds,0.33975,0.033806764551270234,0.39908087178747925,1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Seed_Coat_Tannin,902.690855612769,127.3070174595252,-679.2670399713023,-1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Crude_Protein,29.86436758151155,4.73855986754287,38.180540149049286,1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Total_Oxalate,986.0248863158406,120.24199479981276,-775.0001854421693,-1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Soluble_Oxalate,322.3193504417475,53.187099083813834,-228.9759915496542,-1
TSs98_x_TSs358,TSs98,TSs358,-0.2737032452159416,Insoluble_Oxalate,663.7055358740955,130.02968912799378,891.9076402937246,1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Tannin,681.6974761624911,169.37388408923098,-384.4463095858907,-1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Phenol,193.8765868026755,106.60736809585771,380.97251781090574,1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Flavonoid,152.2752436826015,32.60786753410807,209.50205120496116,1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Antioxidant,214.79779604589,76.88707595926952,349.734614354408,1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Seed_Length,9.037,0.3772365819165271,,0
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Seed_Width,6.799,0.2685455106770341,,0
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Seed_Thickness,6.5505,0.3002768882704444,,0
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Mass_of_Seeds,0.32175,0.03377880849502248,0.3810318089087644,1
TSs361_x_TSs56,TSs361,TSs56,-0.2715975721429599,Seed_Coat_Tannin,946.3305416332704,127.20174260734484,-723.0914833573802,-1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Tannin,840.525877451003,169.21332138745979,-543.5564984160111,-1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Phenol,202.2329841135695,106.50630666515234,389.1515523109118,1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Flavonoid,159.851047432833,32.5769559957772,217.023605205422,1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Antioxidant,300.5815062925925,76.81418870918554,435.3904074772131,1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Seed_Length,8.8955,0.3768789699675236,,0
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Seed_Width,6.958,0.26829093546330096,,0
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Seed_Thickness,6.833500000000001,0.2999922324114883,,0
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Mass_of_Seeds,0.33055,0.03374678693051898,0.3897756110630608,1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Seed_Coat_Tannin,1015.73706874938,127.08115816439567,-792.7096361708656,-1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Crude_Protein,32.8284402959499,4.7301530427427165,41.12985888596337,1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Total_Oxalate,895.898206368375,120.02866977867566,-685.2478909067992,-1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Soluble_Oxalate,326.17602253690995,53.092738215506834,-232.99826696869548,-1
TSs361_x_TSs98,TSs361,TSs98,-0.2691878220450686,Insoluble_Oxalate,569.722183831465,129.79899945731873,797.5194278790593,1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Tannin,688.3072558110371,169.18696531610442,-391.3841316812738,-1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Phenol,211.9014316136935,106.48971761769882,398.7908860327549,1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Flavonoid,178.33439288772848,32.57188192377314,235.49804566395034,1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Antioxidant,269.3795691278825,76.80222440151682,404.16747295254453,1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Seed_Length,8.675,0.37682026862567086,,0
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Seed_Width,6.763999999999999,0.26824914741150285,,0
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Seed_Thickness,6.4085,0.29994550667725733,,0
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Mass_of_Seeds,0.2979,0.03374153064976601,0.35711638629033937,1
TSs361_x_TSs317,TSs361,TSs317,-0.2687924843797225,Seed_Coat_Tannin,1017.2100922281048,127.0613644504904,-794.2173976174942,-1
TSs151B_x_TSs98,TSs151B,TSs98,-0.2673993142274134,Seed_Length,8.494,0.3766133321305525,,0
TSs151B_x_TSs98,TSs151B,TSs98,-0.2673993142274134,Seed_Width,6.515,0.2681018343739471,,0
TSs151B_x_TSs98,TSs151B,TSs98,-0.2673993142274134,Seed_Thickness,6.406000000000001,0.2997807871092132,,0
TSs151B_x_TSs98,TSs151B,TSs98,-0.2673993142274134,Mass_of_Seeds,0.28355,0.033723000982776336,0.34273386672477246,1
TSs151B_x_TSs98,TSs151B,TSs98,-0.2673993142274134,Seed_Coat_Tannin,1099.1353551971752,126.99158679887881,-876.2651203651428,-1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Tannin,642.071551396388,168.98191019795252,-345.5082989989814,-1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Phenol,321.0537657991655,106.36065175504643,507.716709629272,1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Flavonoid,157.2789010094865,32.53240470350484,214.3732712641375,1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Antioxidant,274.0630348942555,76.70913987121891,408.68757536824467,1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Seed_Length,8.694500000000001,0.37636356131041937,,0
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Seed_Width,6.781499999999999,0.26792402862641296,,0
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Seed_Thickness,6.5305,0.2995819718080319,,0
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Mass_of_Seeds,0.3071,0.033700635811673214,0.3662446158494865,1
TSs317_x_TSs358,TSs317,TSs358,-0.2657187874499147,Seed_Coat_Tannin,904.163879091494,126.90736568911267,-681.4414523071013,-1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Tannin,635.461771747842,168.976904035505,-338.9073051655308,-1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Phenol,303.0289209881475,106.35750077456522,489.68633484750944,1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Flavonoid,131.2197518043595,32.53144091689263,188.31243061350605,1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Antioxidant,219.481261812263,76.70686732964947,354.1018139757978,1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Seed_Length,9.0565,0.3763524113765297,,0
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Seed_Width,6.8165,0.26791609126075455,,0
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Seed_Thickness,6.672499999999999,0.29957309656206343,,0
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Mass_of_Seeds,0.3309499999999999,0.03369963741570727,0.3900928636645662,1
TSs56_x_TSs358,TSs56,TSs358,-0.2656437936236969,Seed_Coat_Tannin,833.2843284966596,126.90360600331147,-610.5684999608479,-1
TSs151B_x_TSs317,TSs151B,TSs317,-0.262081859187379,Seed_Length,8.2735,0.37582244902392425,,0
TSs151B_x_TSs317,TSs151B,TSs317,-0.262081859187379,Seed_Width,6.321,0.2675388240034356,,0
