scenario,lambda,sample,contribution
balanced,0.026366508987303583,TSs132,0.0
balanced,0.026366508987303583,TSs133,0.0
balanced,0.026366508987303583,TSs136,0.0
balanced,0.026366508987303583,TSs138B,0.0
balanced,0.026366508987303583,TSs15,0.0
balanced,0.026366508987303583,TSs151B,0.0
balanced,0.026366508987303583,TSs155,0.0
balanced,0.026366508987303583,TSs156A,0.0
balanced,0.026366508987303583,TSs157A,0.9999999999999138
balanced,0.026366508987303583,TSs158,0.0
balanced,0.026366508987303583,TSs161,0.0
balanced,0.026366508987303583,TSs166,0.0
balanced,0.026366508987303583,TSs168,0.0
balanced,0.026366508987303583,TSs195,0.0
balanced,0.026366508987303583,TSs1A,0.0
balanced,0.026366508987303583,TSs2,0.0
balanced,0.026366508987303583,TSs201,0.0
balanced,0.026366508987303583,TSs209,0.0
balanced,0.026366508987303583,TSs217,0.0
balanced,0.026366508987303583,TSs224,0.0
balanced,0.026366508987303583,TSs22A,1.162897479176966e-14
balanced,0.026366508987303583,TSs22B,6.726349779353506e-16
balanced,0.026366508987303583,TSs23,0.0
balanced,0.026366508987303583,TSs24,0.0
balanced,0.026366508987303583,TSs266,0.0
balanced,0.026366508987303583,TSs269,0.0
balanced,0.026366508987303583,TSs27,0.0
balanced,0.026366508987303583,TSs274,0.0
balanced,0.026366508987303583,TSs277,0.0
balanced,0.026366508987303583,TSs282,2.0539125955563626e-14
balanced,0.026366508987303583,TSs287,1.2546894543734576e-16
balanced,0.026366508987303583,TSs291,0.0
balanced,0.026366508987303583,TSs293,6.585373215581727e-17
balanced,0.026366508987303583,TSs294,0.0
balanced,0.026366508987303583,TSs296,3.726321758094234e-16
balanced,0.026366508987303583,TSs297,2.7782150323190824e-15
balanced,0.026366508987303583,TSs3,0.0
balanced,0.026366508987303583,TSs30,0.0
balanced,0.026366508987303583,TSs303,0.0
balanced,0.026366508987303583,TSs311,0.0
balanced,0.026366508987303583,TSs314A,0.0
balanced,0.026366508987303583,TSs314B,0.0
balanced,0.026366508987303583,TSs317,0.0
balanced,0.026366508987303583,TSs325,5.379912022929752e-16
balanced,0.026366508987303583,TSs33,0.0
balanced,0.026366508987303583,TSs331,2.0084146005343406e-15
balanced,0.026366508987303583,TSs333,2.0497857267313502e-15
balanced,0.026366508987303583,TSs334,2.9189959123169912e-15
balanced,0.026366508987303583,TSs336,0.0
balanced,0.026366508987303583,TSs338,0.0
balanced,0.026366508987303583,TSs357,0.0
balanced,0.026366508987303583,TSs358,0.0
balanced,0.026366508987303583,TSs361,0.0
balanced,0.026366508987303583,TSs363,0.0
balanced,0.026366508987303583,TSs365,0.0
balanced,0.026366508987303583,TSs368,9.34602722082783e-16
balanced,0.026366508987303583,TSs371,0.0
balanced,0.026366508987303583,TSs378,0.0
balanced,0.026366508987303583,TSs38,9.002944975007327e-15
balanced,0.026366508987303583,TSs383,0.0
balanced,0.026366508987303583,TSs3A,0.0
balanced,0.026366508987303583,TSs4,5.425562735661849e-18
