PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,cluster,Tannin,Phenol,Flavonoid,Antioxidant
5.394685234408405,-4.9202532277346585,2.127894172419957,2.5580935339450313,-1.5106099512329192,-3.722871867728472,-0.8296873086321647,1.5505383067035448,-3.844077361443982,4.474379111795112,TSs63A,1,388.06289537733,374.50267519347,159.156014899968,313.870583861333
-0.8641531404639898,-7.905322776638328,3.548015798777531,2.146326126743938,-3.804970473602493,8.388198220953061,-2.6854623219686853,-1.6575194331025653,-0.7554459497965782,-2.4777761404810987,TSs158,1,650.358406584359,110.904810523761,128.695767401526,236.109653491644
0.029781715612902562,-0.026252806411087248,-13.960235033624318,8.740509216778484,12.046628020354918,-6.037027781757297,-10.291289683855334,2.7425181225867497,8.273965693845547,-3.8017063235506328,TSs269,1,574.673021507819,117.714983769016,97.7910439201985,139.532577630179
9.29147470154918,0.6998984646356624,-10.015090893572077,-3.0635581587415315,6.404715362437365,1.7247276158407447,-4.6546219638826285,-7.702074044997958,5.1176508619907315,-5.732915188238525,TSs317,1,679.194862253083,148.827114977169,208.16394267839,314.401185844708
-4.276195257419161,2.4057156620373075,3.0145572338894397,2.4678632421260915,-5.391616728477066,8.842082242252957,7.38463201169277,-3.7519210449906346,1.3252278789517455,-1.560271193567338,TSs49A,1,341.331811217012,616.190803172839,145.407593146018,362.173006559779
7.705369535755152,-11.65696267066627,4.314560460885029,4.173786994801058,-15.36031972866173,-11.78534799985594,-3.847349232756411,-1.0490704078058983,-2.4015200372923373,-3.3441189546945473,TSs417,1,348.557206256345,398.366629988418,82.518267441137,209.141490101471
-9.515759119930385,-0.6444291627589568,-7.021405769890432,-0.7692823732904615,3.2114843692445194,-2.72688357153479,1.4321788873796133,9.058866314131315,0.8548242177486342,3.7420530332559476,TSs195,1,964.176668972274,104.527182843986,124.416628455803,309.221161324732
10.032509241940774,-14.989572368137322,6.303170364166102,-1.601723936924464,8.916695393756298,3.748215549459097,-0.16502508866314716,-0.05632778736001722,-3.9844278094857675,1.245886781100687,TSs371,1,754.696894597476,148.631389909466,126.675629028688,268.389045475978
-1.3348930230059055,-2.600279871673286,-3.389484371033545,-1.9548809294614795,-2.2128037560448406,-1.558017017020288,-0.5430393897573431,0.030934677887534397,-2.077155454325271,1.2159805129313166,TSs23,1,728.053550415867,125.367492450801,172.846055895737,195.03737659037
8.669691614181948,1.603789540997465,-8.145686975018249,-6.7404925527866615,3.4089438140149624,-2.2342533772501,3.760195425550292,-4.167611499213461,5.448487534224501,1.4592020515074675,TSs51,1,521.717761200037,238.563544975233,122.715363343722,278.615097990217
1.5578307352478988,18.623139100652608,5.9942098357572045,4.24108743740889,-0.8766607743617036,-2.566725837366573,-0.7453207846040881,-3.1391660270041717,-4.089179696712907,0.4318003330693729,TSs59B,1,665.687958320523,168.021795187676,143.615005683971,325.474072904993
-23.04332723317322,-3.5893630860732597,-0.06917406203420969,-1.1379631064386162,-3.2421628841727514,11.594679528767502,5.980182884551461,-2.118967005182886,-1.5075389619750608,1.5098456706905579,TSs365,0,413.017743873986,124.615855243755,164.491123414755,236.239043457812
-8.564653920707903,-4.725621543222925,-4.541710175621512,-0.9118479943915656,-1.5712425816419717,0.4530813506264024,0.3363302273120936,4.24632000243099,-3.3724234419599726,3.7041706759251247,TSs224,1,376.703603858286,127.458301449473,143.79566709392,268.124296763973
9.209702249288974,-11.26560545425222,-3.9967891261352215,-1.4794008048612795,-3.1682267137149442,-8.01077114772599,-2.706908096891126,12.960834223770725,-5.192830598026169,9.773348852016715,TSs325,1,298.07419365711,83.6720723637473,97.3251938207849,209.058783470417
-2.711864502126117,-3.6333829937991906,-9.373517085719428,-1.4507358119915783,-1.331026205096365,-6.212898342421978,1.6437764119920488,7.780986266039881,2.212669738267877,0.5965806212846176,TSs119A,1,433.321129377677,147.192221791308,177.932626593979,329.082694782641
7.494692288197994,-6.206677312058909,-8.914799182911224,-15.921496774279227,14.855256390800628,8.050782440542461,4.285626985214923,-20.55084009779197,-3.460672756609137,-11.718886227740766,TSs166,1,661.818696549931,140.081494406918,112.405700572529,253.780425576748
-0.21667969773153398,6.581511252391941,-10.642011059519499,14.657585190269788,6.018762736844711,15.454645381432199,6.738204566419272,-1.6714638383183618,14.324550108016808,-2.620920790439296,TSs297,1,485.26170921871,555.534957627117,193.029675638371,402.584292348072
-0.48874152401046944,2.6242375337712223,-4.632520291539349,-3.279115107720248,1.217883499394267,0.6967219158047399,5.90821262447197,11.01338163134551,-6.142495141963845,1.5853739599435641,TSs338,1,682.489803263535,164.37507268547,110.044623259527,245.052164796779
5.568241226872646,4.851932875710592,-9.038908452931334,5.7359754712472215,6.469311972683734,0.02783187299451573,-9.191284080591169,0.3141259007257807,-1.5538497864855574,12.869456967488993,TSs293,1,820.24560634974,141.043867654183,213.310771973677,350.34483635561
9.048096534382339,-0.010199935892931849,-10.932617502724357,-7.501267805309977,-11.922713837906572,-0.47438955042457664,-4.9156669089062905,1.2690450344686484,7.614968672131188,-15.623172736293002,TSs24,1,708.902476595967,79.5223089316254,85.8761231501137,97.658671872829
10.293208313314327,-6.116196052569047,0.18538097189836436,-4.127489456602298,0.40078656474851104,-10.125848294357255,-4.863398576283755,5.588614434035388,-0.7273391725981115,9.532613448162751,TSs334,1,382.1528750973,781.814978506539,137.58145199245,367.203206526642
-0.8938089007379899,13.601295078991855,-2.155218867851428,14.950406797216068,-0.9305548250714729,1.6135278802813398,4.275752137007431,-7.342081874700016,-6.898549921648133,-0.25279906873706487,TSs1A,1,614.836968379412,314.20184926738,185.05099508037,329.720728065091
5.685732265787453,5.945384980210931,3.022993341663489,-11.90019016336906,0.3969746877180531,-1.368506607352144,-2.5468701073377593,0.17759366028635054,-1.8794861159026706,4.100297958100106,TSs266,1,723.15885769988,130.755593839982,151.033408933863,320.344479932166
-7.200906072821332,2.9564044470987474,-2.0041229301821075,-1.283116807265934,-7.22658523964395,8.601316529210306,7.932456414800059,0.010849431098332678,-5.331150597098663,2.52781265030254,TSs277,1,870.136225602217,172.432200381262,121.666613424945,264.130798619124
1.4423745495410447,7.329131903324683,4.672845907138903,5.336609938144018,-2.2196434785236514,2.200745084774052,-0.03145481756265251,3.7702894965116696,-4.895836023464891,1.9711803587744883,TSs60B,1,330.645624777042,337.097325544789,161.40400744792,327.504153496759
9.523443443848189,0.0316070917061247,-7.522704300678326,-13.887546945901926,-3.1154624520511085,7.973502573165308,5.784065164476636,0.700584338240144,20.376367552581435,7.26699542148949,TSs303,1,843.146276252702,159.870637257378,120.285901551985,242.711574645193
4.617003601960935,-7.348028272271989,-6.138072132332079,-1.4598445186649534,2.887994943349672,2.544663690333617,-6.738181527533811,8.785726016576401,-2.5670664476542067,3.479833943806832,TSs120,1,352.869123610881,232.028199830313,123.499801394815,250.360450999278
5.275339244776665,-4.053431438530043,-3.5012896881503384,0.9056133354545349,2.0899448629197024,-3.188561402396535,-1.255552828724369,-1.0853353789818287,-6.5269544113351,6.863670584762556,TSs132,1,578.264790117291,210.230224991617,102.983235073787,20.6792873825816
